canonical_id,candidate_rank,candidate_stock_code,candidate_company,similarity,accepted
1,1,601628.SH,中国人寿保险股份有限公司,77.42,False
1,2,601336.SH,新华人寿保险股份有限公司,75.0,False
1,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
2,1,603659.SH,上海璞泰来新能源科技集团股份有限公司,94.12,True
2,2,000909.SZ,数源科技股份有限公司,85.26,False
2,3,603628.SH,清源科技股份有限公司,85.26,False
3,1,300955.SZ,嘉亨家化股份有限公司,100.0,True
3,2,603630.SH,拉芳家化股份有限公司,80.0,False
3,3,002058.SZ,上海威尔泰工业自动化股份有限公司,74.12,False
4,1,601336.SH,新华人寿保险股份有限公司,75.0,False
4,2,601628.SH,中国人寿保险股份有限公司,75.0,False
4,3,601318.SH,中国平安保险(集团)股份有限公司,72.0,True
5,1,002977.SZ,成都天箭科技股份有限公司,100.0,True
5,2,300019.SZ,成都硅宝科技股份有限公司,83.33,False
5,3,300101.SZ,成都振芯科技股份有限公司,83.33,False
6,1,001259.SZ,北京利仁科技股份有限公司,83.33,False
6,2,002373.SZ,北京千方科技股份有限公司,83.33,False
6,3,003007.SZ,北京直真科技股份有限公司,83.33,False
7,1,689009.SH,九号有限公司,72.0,False
7,2,688373.SH,上海盟科药业股份有限公司,66.67,False
7,3,688728.SH,格科微有限公司,65.45,False
8,1,601788.SH,光大证券股份有限公司,100.0,True
8,2,000686.SZ,东北证券股份有限公司,80.0,False
8,3,000728.SZ,国元证券股份有限公司,80.0,False
9,1,301379.SZ,广西天山电子股份有限公司,100.0,True
9,2,000050.SZ,天马微电子股份有限公司,78.26,False
9,3,000570.SZ,常柴股份有限公司,77.14,False
10,1,000570.SZ,常柴股份有限公司,77.14,False
10,2,000709.SZ,河钢股份有限公司,77.14,False
10,3,000898.SZ,鞍钢股份有限公司,77.14,False
11,1,600903.SH,贵州燃气集团股份有限公司,100.0,True
11,2,600917.SH,重庆燃气集团股份有限公司,83.33,False
11,3,603053.SH,成都燃气集团股份有限公司,83.33,False
12,1,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
12,2,000570.SZ,常柴股份有限公司,67.5,False
12,3,000709.SZ,河钢股份有限公司,67.5,False
13,1,920914.BJ,江苏远航精密合金科技股份有限公司,100.0,True
13,2,002202.SZ,金风科技股份有限公司,85.26,False
13,3,003018.SZ,金富科技股份有限公司,85.26,False
14,1,603125.SH,江苏常青树新材料科技股份有限公司,100.0,True
14,2,603276.SH,江苏恒兴新材料科技股份有限公司,83.87,False
14,3,300806.SZ,江苏斯迪克新材料科技股份有限公司,81.25,False
15,1,601628.SH,中国人寿保险股份有限公司,77.42,False
15,2,601336.SH,新华人寿保险股份有限公司,75.0,False
15,3,601318.SH,中国平安保险(集团)股份有限公司,68.57,True
16,1,000570.SZ,常柴股份有限公司,67.5,False
16,2,000709.SZ,河钢股份有限公司,67.5,False
16,3,000898.SZ,鞍钢股份有限公司,67.5,False
17,1,920006.BJ,江苏晟楠电子科技股份有限公司,100.0,True
17,2,301106.SZ,江苏骏成电子科技股份有限公司,85.71,False
17,3,688060.SH,江苏云涌电子科技股份有限公司,85.71,False
18,1,002988.SZ,广东豪美新材股份有限公司,100.0,True
